gestao_obras_id;nome_gestao_obras;erp_obra_id;erp_obra_nome;erp_centro_custo_raiz_id;erp_centro_custo_raiz_nome;regra
c5f6493a-5921-434c-93c5-f3a14cd2e428;003 - Recuperação do Ramal do Gama;e10f0b56-094e-4eb0-8459-dc11faa857be;003 - Recuperação do Ramal do Gama;ad8061a7-4b7b-4881-8b45-161c8c2881e8;003 - Recuperação do Ramal do Gama;"numero 003; raiz = centros_custo com obra_id da obra e pai_id nulo (unica)"
mthsfsk7aaqux;007 - AC - 405 Lote 2;a03889e9-9731-4def-a1f1-6e8466ec498f;007 - AC 405 - Lote 2;b2607766-d4eb-4b5e-993a-442ae8de18a9;007 - AC 405 - Lote 2;"numero 007; raiz = centros_custo com obra_id da obra e pai_id nulo (unica)"
99a8ba7d-1b26-4d19-a983-379d46ac86aa;009 - Manutenção de Rodovia BR-364 (Lote - 09);b4e8f851-8301-48e5-be82-653ddbffe725;009 - Manutenção da Rodovia BR-364/AC - Lote 09 & 10;fbfb8cad-6ecb-40f0-984c-f4f0e87dc2c0;009 - Manutenção da Rodovia BR-364/AC - Lote 09 & 10;"decisao 4: Lote 09 e Lote 10 sao uma obra so no ERP; sem etapa por lote"
5d61a510-ff22-485f-9a86-f447dbdf3911;010 - Manutenção de Rodovia BR-364 (Lote - 10);b4e8f851-8301-48e5-be82-653ddbffe725;009 - Manutenção da Rodovia BR-364/AC - Lote 09 & 10;fbfb8cad-6ecb-40f0-984c-f4f0e87dc2c0;009 - Manutenção da Rodovia BR-364/AC - Lote 09 & 10;"decisao 4: Lote 09 e Lote 10 sao uma obra so no ERP; sem etapa por lote"
mu7dsuxvcy3ae;012 - Escola de Mancio Lima;460d8d9b-c027-47a0-a45c-2e219bb9531f;012 - CONSTRUÇÃO DE ESCOLA DO MUNICÍPIO DE MANCIO LIMA;76071813-e664-4383-aae6-1f863c6af137;012 - CONSTRUÇÃO DE ESCOLA DO MUNICÍPIO DE MANCIO LIMA;"numero 012; raiz = centros_custo com obra_id da obra e pai_id nulo (unica)"
mm41xufthvpjm;Empresa AMZ;c3454530-a20e-41ac-986d-aaa44b232088;Amazônia Agroindústria;a6a1f57d-b8cb-4113-b694-58f34af7bdb4;Amazônia Agroindústria;decisao b: Empresa AMZ -> Amazonia Agroindustria (no ERP e obra, tipo obra)
mm41zeupkiyaq;Empresa EMT;;;0a327d7e-6e2d-40d9-a87b-cf9b4a76be2e;Escritório Central;decisao b: Empresa EMT -> Escritorio Central. No ERP nao e obra: centro raiz tipo escritorio, sistema=true, obra_id nulo
