gestao_obras_id;codigo;nome_gestao_obras;erp_equipamento_id
mr5e6kd5s0deb;CE-002;Espargidor QWN-7424;c5123e39-823d-4237-8cb3-5b34c8c97547
vl-006;VL-006;Hilux CDLOWA4SD SQQ-8F87 - 06;4b40dd6b-901a-474e-ba59-546badc14a3a
vl-005;VL-005;Hilux CDSRVA4FD QWQ-1D76 - 05;4d2a55d3-bcb3-43ce-9b5a-434fab19975a
vl-004;VL-004;Hilux CDSRXA4FD QLY-7H84 - 04;60ca3df0-1ca6-4acf-bc6e-30c7e4919dd8
vl-001;VL-001;Hilux CHLSTM4FD QWQ-3H97 - 01;9aacefaf-878a-472e-bbc5-a55fea83f373
col-vl-01;COL-VL-01;Hilux de Apoio Colorado - 01;040344ac-a1b7-4037-bc6d-d93a64ae14d2
mp2n4nuz84jkt;;Hilux Renan - BDX3D28;ad497fe3-8829-48b0-a573-7fea24cb3fd7
vl-007;VL-007;Hilux SQR1C93 - 07;86d77985-fcfb-44ea-bdb2-0286ec575a4e
lab-001;LAB-001;Laboratório;a6ea5f30-ace1-478e-bf37-f185abba4d3e
te-001;TE-001;Manipulador Telescópio 540-170 - 01;71510bc4-2c5b-43c5-ae0d-6e35a2d1ef2a
mz-001;MZ-001;Meloza 1517 MZO-3926 - 01;bf554339-af03-406f-acb8-21409d7c5e79
col-mz-01;COL-MZ-01;Meloza Colorado - 01;72ce1d70-6e66-438b-a341-666c8fcf009a
mn-001;MN-001;Motoniveladora 12H - 01;6f806492-255e-4845-abaa-6083e768ca7f
mn-002;MN-002;Motoniveladora 12H - 02;731fe765-15bb-4f9c-915e-1b19d07c7bed
col-mn-05;COL-MN-05;Motoniveladora 140 Colorado - 05;70ccd26b-c606-4ff8-9795-ee976408bc0e
col-mn-14;COL-MN-14;Motoniveladora 140 Colorado - 14;9286af15-c829-4463-a30d-b7d084eb34a4
mpls58zfwrczv;;Outros;913ec755-86b6-42f8-b41a-b7dede86b752
pc-001;PC-001;Pá Carregadeira 924K - 01;b3612027-5150-4b2f-abbb-f048fa7b30d1
mr2misv08056r;PC-003;Pá Carregadeira Komatsu 150;4a23a60f-e888-4ea7-982e-8de82bd441c7
pc-002;PC-002;Pá Carregadeira W20 - 02;042bc1e5-15d8-42d4-91be-9caea0289421
ms944o1eotv78;VL-010;PALIO - NAF 3863;96312003-bf91-4611-865f-f05f2b56b823
mt0ames9ajv21;IMP-005;PLATAFORMA ROLL ON - ROLL OFF 6.50 M - CARROCERIA ABERTA;57501dbc-247d-4287-80f7-ca729653f188
mou6zgocifqfm;;Prancha Colorado;04cb52d8-8fef-46e6-92f0-5651f072e004
moyf6sv736rr5;P-001;Pulverizador;fb836036-b43d-44bd-98d0-11932b7de950
mpmtxe1c6u4qh;;RC-13-Colorado;b7917add-0260-4734-ac75-8be7f87530b0
mpmtutgwdxy6n;;RC-15-Colorado;932aeffc-595e-4125-b41e-58b851e7e78e
mpmtw353ehybt;;RC-17-Colorado;7715617c-1965-4dc4-80aa-9bb8c0a857db
mpmtwsbz1tzh8;;RC-23-Colorado;05a0f69c-82c3-4547-ab67-cb77ace7ee3b
mtx0tmufis258;P-003;RECICLADORA;92f1b1a5-b03c-40e4-a4d7-622105611841
rt-001;RT-001;Retroescavadeira 416E - 01;34e7ce33-d59e-4eaa-b949-c62ebc7bbe28
rt-002;RT-002;Retroescavadeira 416E - 02;c9cc65d4-60b7-4f43-9647-82b5d4ea7112
rc-001;RC-001;Rolo Chapa CB10 - 01;091a8845-f3ac-4d9b-a52c-a8c9b4e68f8c
col-rc-cat;COL-RC-CAT;Rolo Chapa Colorado;30525f7d-bca1-482d-8205-15c66cc1be3c
col-rc-mirla;COL-RC-MIRLA;Rolo Chapa Mirla Colorado;f820d92b-7b12-4eae-865b-fd06f7fbdc94
rpc-001;RPC-001;Rolo CP56 - 01;5e0e1ce4-248a-4522-a453-abf3d4532191
rp-001;RP-001;Rolo de Pneu CW34 - 01;8721f05a-76c6-424f-9452-546175659494
mrl1nc2v4advt;;Rolo Dynapac CA 25;0854e02b-1031-4a57-9b8c-ed2d101f7226
rpc-003;RPC-003;Rolo Pé de Carneiro CA260 - 03;a3019d55-6979-4aae-8434-f523da4b6497
rpc-002;RPC-002;Rolo Pé de Carneiro CP56 - 02;bbd48a44-b26a-4921-934b-2e16e5108c5d
vl-008;VL-008;SAVEIRO CS RB MF QWQ2I35 - 09;b44c60b2-aee7-417e-b144-fa8803eb798d
vl-009;VL-009;SAVEIRO CS RB MF QWQ2I65 - 08;35a3a8f6-285e-4664-ba4b-5171929ae4c8
vl-002;VL-002;Saveiro RBMBVD QWP-6B51 - 02;6524c991-9ceb-4153-9ae8-5ae7f5f5ddb2
mt0ael0zacog4;IMP-004;SISTEMA DE TRANSPORTE ROLL-ON/ROLL-OFF BASCULANTE;2b77b122-87ae-4527-992a-94f1715bad5c
vl-003;VL-003;Tracker QWM-9H99 - 03;850ae0ca-45f8-4111-aed1-1e429c17807f
mqft4mrxy2yk8;TRP-002;Trator Agrale 21;f5d82bae-8113-472c-9042-4b165a710200
tre-003;TRE-003;Trator de Esteira D6G - 03;33375921-bb65-40fb-991a-892b6d61cb6b
tre-002;TRE-002;Trator de Esteira D6M - 02;66e00b85-4459-4782-aca9-d5182284e0f0
tre-001;TRE-001;Trator de Esteira D6NXL - 01;40bb5380-6cff-4111-9802-896390cf1318
mubipqamo0o9b;;Trator John Deere;13897258-b62b-4b99-984a-3b225d6bf800
mrjqpxgfb3olq;;Trator Massey Fergusson 299;aa6c0411-0e31-49f1-a95b-2b49ecb4a382
mpofumpkb53pt;;Trator Valtra Colorado;89f6c676-7a71-4c6a-b638-44e1e7c114ed
mu5iw178h0xkc;;Trator Walmet;4bda8bc1-4f31-4a62-a217-28c98c43d0c1
col-usina-01;COL-USINA-01;Usina de Asfalto Ciber Colorado - 01;e61e809a-2040-428c-a526-5822f07d1b70
vb-001;VB-001;Vibro Acabadora AF4500 - 01;4fcbf73c-7ce3-49d8-bfdc-fd573c5a9799
col-vb-01;COL-VB-01;Vibro Acabadora Leeboy - Colorado - 01;74b680ba-ee52-4020-9827-6327f2ac90e6
